symbol,year,company,legal_reserve,exchange,approved_date,restatement,integrative,current_liabilities,noncurrent_liabilities,shareholders_equity,approved_shareholders_equity,current_assets,noncurrent_assets,total_liabilities,total_liabilities_plus_shareholders_equity,total_assets,audited,public_rights,net_fixed_assets,fiscal_year,other_reserves,capital,investments_and_other_assets,retained_earnings,type
وخاور,1395,بانک خاورمیانه,819186.0,,13960730,بلی,خیر,66708356.0,52551.0,7776224.0,,61420444.0,9164348.0,66760907.0,74537131.0,74537131.0,خیر,,,13951229,,4000000.0,6225317.0,1960622.0,*12ماهه
وخاور,1396,بانک خاورمیانه,1187294.0,بورس تهران,13970427,,-,85925020.0,75193.0,9272080.0,8372080.0,79623717.0,10368387.0,86000213.0,95272293.0,95272293.0,-,,,13961229,,6000000.0,7316601.0,2084786.0,مجمع
وخاور,1397,بانک خاورمیانه,2146889.0,بورس تهران,13980427,,-,124019658.0,106510.0,14303312.0,13021077.0,120835358.0,11113793.0,124126168.0,138429480.0,138429480.0,-,,,13971229,1474887.0,7000000.0,7071395.0,3799301.0,مجمع
ودانا,1390,سر. دانایان پارس,56363.0,,13901217,,-,1077239.0,979.0,1435011.0,1329433.0,1852861.0,660368.0,1078218.0,2513229.0,2513229.0,-,,68391.0,13900930,,900000.0,582780.0,478648.0,مجمع
ودانا,1391,سر. دانایان پارس,71458.0,,13911213,,-,478512.0,1415.0,2081331.0,1924181.0,2293641.0,267617.0,479927.0,2561258.0,2561258.0,-,,67892.0,13910930,,1350000.0,199560.0,659873.0,مجمع
ودانا,1395,سر. دانایان پارس,135000.0,,13960129,,-,240867.0,148.0,2787109.0,2787109.0,2982730.0,45394.0,241015.0,3028124.0,3028124.0,-,,281.0,13950930,,1350000.0,44912.0,1302109.0,مجمع
ودانا,1397,سر. دانایان پارس,135000.0,فرابورس,13980128,,-,93550.0,578.0,2986122.0,1771122.0,1373472.0,1706778.0,94128.0,3080250.0,3080250.0,-,,411.0,13970631,,1350000.0,1020551.0,1501122.0,مجمع
ودی,1385,بیمه دی,6598.0,,13880615,خیر,خیر,134059.0,,234181.0,,194471.0,173769.0,134059.0,368240.0,368240.0,بلی,,,13851229,3299.0,200000.0,70000.0,24284.0,*12ماهه
ودی,1386,بیمه دی,10000.0,,13870430,,-,116000.0,195000.0,227000.0,227000.0,345000.0,193000.0,311000.0,538000.0,538000.0,-,,165000.0,13861229,,200000.0,28000.0,12000.0,مجمع
ودی,1388,بیمه دی,20422.0,,13890426,خیر,خیر,652389.0,,394824.0,,691069.0,423472.0,719717.0,1114541.0,1114541.0,بلی,,,13881229,10212.0,305362.0,260200.0,58828.0,*12ماهه
ودی,1389,بیمه دی,22161.0,,13900420,خیر,خیر,703143.0,,663703.0,,713555.0,756812.0,806664.0,1470367.0,1470367.0,بلی,,,13891229,13687.0,610723.0,556171.0,17132.0,*12ماهه
ودی,1390,بیمه دی,35651.0,,13910424,خیر,خیر,1893714.0,1147.0,884957.0,,2436008.0,710278.0,2261329.0,3146286.0,3146286.0,بلی,,,13901229,1.0,610723.0,503684.0,197914.0,*12ماهه
ودی,1391,بیمه دی,35918.0,,13920903,بلی,خیر,5850979.0,10161.0,458645.0,610723.0,6354228.0,680239.0,6575822.0,7034467.0,7034467.0,خیر,,,13911229,1.0,610723.0,470485.0,-229199.0,*12ماهه
ودی,1392,بیمه دی,35918.0,,13930613,خیر,خیر,2267966.0,1493442.0,-1763831.0,,2023059.0,334320.0,4124518.0,2360687.0,2360687.0,بلی,,,13921229,,610723.0,135315.0,-2451674.0,*12ماهه
ودی,1393,بیمه دی,35918.0,,13941103,بلی,خیر,4049899.0,7791.0,-281480.0,,4143351.0,159390.0,4584221.0,4302741.0,4302741.0,خیر,,,13931229,,610723.0,54852.0,-2267115.0,*12ماهه
ودی,1394,بیمه دی,35919.0,,13950911,بلی,خیر,2609557.0,310782.0,702121.0,,4012115.0,235308.0,3545302.0,4247423.0,4247423.0,خیر,,,13941229,,610723.0,61070.0,-1875000.0,*12ماهه
ودی,1395,بیمه دی,35918.0,,13960431,,-,5622251.0,19097.0,1116507.0,1116506.0,5765010.0,999428.0,5647931.0,6764438.0,6764438.0,-,,,13951229,,2500000.0,378451.0,-1460614.0,مجمع
ودی,1396,بیمه دی,35918.0,فرابورس,13970807,بلی,خیر,33380993.0,23213.0,1816355.0,,33641142.0,1592635.0,33417422.0,35233777.0,35233777.0,خیر,,,13961229,41203.0,2500000.0,776798.0,-760766.0,*12ماهه
ودی,1397,بیمه دی,87331.0,فرابورس,13980427,,-,59799280.0,33747.0,2883791.0,2758791.0,59915328.0,2873430.0,59996947.0,62880738.0,62880738.0,-,,,13971229,,2500000.0,1939628.0,152431.0,مجمع
ورازی,1386,بیمه رازی,19239.0,,13870428,بلی,خیر,615767.0,,279181.0,,567534.0,184353.0,665628.0,944809.0,944809.0,خیر,,,13861229,,200000.0,,50323.0,*12ماهه
ورازی,1387,بیمه رازی,20000.0,,13880428,خیر,خیر,925800.0,29.0,357991.0,,984009.0,377259.0,1003277.0,1361268.0,1361268.0,بلی,,,13871229,,200000.0,144381.0,39709.0,*12ماهه
